malo_id,customer_ref,city,dso_name,segment,pv_kwp,battery_kwh,has_heat_pump,has_ev,annual_kwh_expected,tariff_type,contract_start,reporting_unit
19554292257,C1000,BERLIN,Stromnetz Berlin,PV_battery_HP,6.5,10.0,1,0,6998,DYNAMIC,2024-10-29,KWH
61804172126,C1001,Stuttgart,Netze BW,PV_battery_HP_EV,7.1,15.0,1,1,11060,DYNAMIC,2024-10-05,KWH
48126289103,C1002,BERLIN,Stromnetz Berlin,PV_only,12.2,0.0,0,0,2937,DYNAMIC,2024-09-18,KW
2378447181,C1003,Leipzig ,Netz Leipzig,PV_battery_HP,12.0,7.5,1,0,9262,DYNAMIC,2025-01-08,KWH
15096034392,C1004,Berlin ,Stromnetz Berlin,PV_battery_HP,10.0,7.5,1,0,9101,DYNAMIC,2025-02-04,KWH
83482028030,C1005,Muenchen,SWM Infrastruktur,PV_only,6.6,0.0,0,0,2478,DYNAMIC,2024-11-22,KWH
52784051030,C1006,muenchen,SWM Infrastruktur,PV_only,9.2,0.0,0,0,2734,FIXED,2024-12-22,KWH
51451020772,C1007,Leipzig ,Netz Leipzig,PV_battery_HP_EV,10.8,5.0,1,1,9612,DYNAMIC,2025-01-16,KWH
59028472520,C1008,stuttgart,Netze BW,PV_battery,7.2,15.0,0,0,2357,DYNAMIC,2025-02-10,KWH
19754516392,C1009,berlin,Stromnetz Berlin,PV_battery_HP_EV,8.9,7.5,1,1,9784,FIXED,2024-12-18,KWH
2060690718,C1010,berlin,Stromnetz Berlin,PV_battery_HP_EV,6.8,12.5,1,1,11016,DYNAMIC,2024-09-09,KWH
69410910768,C1011,hamburg,Stromnetz Hamburg,PV_battery_HP_EV,10.1,10.0,1,1,10446,DYNAMIC,2025-03-12,KWH
65400074314,C1012,STUTTGART,Netze BW,PV_battery,12.1,5.0,0,0,2646,DYNAMIC,2024-09-03,KWH
53850487964,C1013,koeln,Rheinnetz,PV_battery,10.9,12.5,0,0,2311,FIXED,2024-12-08,KW
50096239004,C1014,leipzig,Netz Leipzig,PV_battery_HP,10.1,7.5,1,0,6388,FIXED,2025-01-19,KWH
49114475696,C1015,hamburg,Stromnetz Hamburg,PV_battery_HP_EV,10.9,5.0,1,1,10934,DYNAMIC,2024-09-30,KWH
70348049725,C1016,leipzig,Netz Leipzig,PV_only,7.7,0.0,0,0,2495,DYNAMIC,2025-01-28,KWH
7412179067,C1017,STUTTGART,Netze BW,PV_battery_HP,13.1,12.5,1,0,8391,DYNAMIC,2024-12-03,KWH
64853594978,C1018,leipzig,Netz Leipzig,PV_battery,9.5,15.0,0,0,2681,FIXED,2025-02-19,KWH
91797430928,C1019,leipzig,Netz Leipzig,PV_battery_HP,13.2,12.5,1,0,6553,DYNAMIC,2025-02-20,KWH
58143754480,C1020,Leipzig ,Netz Leipzig,no_hardware,0.0,0.0,0,0,3491,DYNAMIC,2024-09-16,KWH
55457754991,C1021,BERLIN,Stromnetz Berlin,PV_only,10.9,0.0,0,0,2390,DYNAMIC,2024-12-13,KW
17417694597,C1022,Koeln,Rheinnetz,PV_battery_HP_EV,10.4,15.0,1,1,10164,DYNAMIC,2025-03-03,KWH
66586652381,C1023,koeln,Rheinnetz,PV_battery_HP,11.9,15.0,1,0,7045,FIXED,2024-12-01,KWH
4014447556,C1024,Berlin,Stromnetz Berlin,no_hardware,0.0,0.0,0,0,3457,FIXED,2025-03-17,KWH
13733263538,C1025,Muenchen,SWM Infrastruktur,PV_battery_HP,8.1,10.0,1,0,8750,DYNAMIC,2024-11-05,KWH
94391268065,C1026,berlin,Stromnetz Berlin,PV_only,6.6,0.0,0,0,2341,FIXED,2025-01-29,KWH
45855425961,C1029,leipzig,Netz Leipzig,PV_battery_HP,11.9,5.0,1,0,6513,DYNAMIC,2024-10-31,KWH
