building_id,organization_id,building_name,country_code,city,climate_zone,gross_floor_area_m2,conditioned_area_m2,year_built,building_type,max_occupants,subscription_tier,has_pv,pv_capacity_kwp,roof_area_m2,roof_orientation,roof_tilt_deg,has_battery,battery_capacity_kwh,battery_technology,battery_strategy,has_heat_pump,heat_pump_cop_rated,heat_pump_capacity_kw,has_hvac_traditional,has_gas_heating,has_diesel_generator,primary_hvac_system,has_ev_charging,has_led_lighting,wall_u_value,roof_u_value,floor_u_value,window_u_value,window_to_wall_ratio,air_tightness_ach,thermal_mass_level,insulation_year,has_thermal_bridge,energy_certificate,energy_certificate_year,regulatory_profile_id,iso50001_certified
B001,ORG001,Berliner Bürogebäude Alpha,DE,Berlin,Cfb,5200.0,4800.0,2005,Office,260,Monitor,True,120.0,1100.0,S,30.0,True,200.0,LFP,self_consumption,True,3.8,90.0,False,False,False,heat_pump,False,True,0.28,0.18,0.3,1.1,0.35,1.2,MEDIUM,2015.0,False,B,2022,REG_DE,False
B002,ORG002,Istanbul Ticaret Merkezi Beta,TR,Istanbul,Csa,8500.0,7200.0,1998,Retail,700,Insight,False,,2000.0,,,False,,,,False,,,True,True,False,gas_boiler,False,False,0.8,0.55,0.7,2.8,0.25,3.5,HIGH,,True,E,2018,REG_TR,False
B003,ORG001,Hamburg Logistics Hub Gamma,DE,Hamburg,Cfb,12000.0,10000.0,2018,Logistics,80,Copilot,True,500.0,6000.0,S,10.0,True,800.0,LFP,peak_shaving,False,,,True,True,True,gas_boiler,True,True,0.22,0.15,0.25,0.9,0.1,0.8,LOW,2018.0,False,A,2023,REG_DE,True
B004,ORG003,Wien Grand Hotel Delta,AT,Vienna,Cfb,7800.0,6500.0,2008,Hotel,230,Insight,True,80.0,900.0,S,20.0,False,,,,False,,,True,False,True,district,True,True,0.45,0.3,0.45,1.8,0.3,2.0,MEDIUM,2012.0,True,C,2021,REG_AT,False
B005,ORG004,Frankfurt Klinikum Epsilon,DE,Frankfurt,Cfb,15000.0,13000.0,2000,Healthcare,750,Copilot,True,200.0,3000.0,S,15.0,True,400.0,NMC,backup,False,,,True,True,True,gas_boiler,False,True,0.5,0.35,0.5,1.5,0.2,1.5,HIGH,2015.0,True,C,2020,REG_DE,True
B006,ORG005,Amsterdam Universiteit Zeta,NL,Amsterdam,Cfb,9500.0,8000.0,1985,Education,950,Monitor,True,150.0,2200.0,S,25.0,False,,,,False,,,True,False,False,vrf,False,False,0.9,0.6,0.8,2.5,0.3,4.0,HIGH,,True,D,2019,REG_NL,False
B007,ORG006,Copenhagen Net-Plus HQ Eta,DK,Copenhagen,Cfb,6500.0,5800.0,2023,Office,280,Copilot,True,380.0,1800.0,S,28.0,True,450.0,LFP,self_consumption,True,5.5,160.0,False,False,False,gshp,True,True,0.13,0.1,0.18,0.78,0.32,0.4,HIGH,2023.0,False,A,2023,REG_DK,True
B008,ORG007,Leipzig Plattenbau Theta,DE,Leipzig,Cfb,9200.0,8400.0,1968,Office,520,Monitor,False,,1500.0,,,False,,,,False,,,True,True,False,gas_boiler,False,False,1.85,1.4,0.95,4.5,0.2,8.5,HIGH,,True,G,2020,REG_DE,False
B009,ORG008,Frankfurt Datacenter Iota,DE,Frankfurt,Cfb,9500.0,8200.0,2020,Data_Center,35,Copilot,True,250.0,2500.0,S,15.0,False,,,,False,,,True,False,True,chiller,False,True,0.22,0.18,0.3,1.2,0.1,1.0,HIGH,2020.0,False,B,2022,REG_DE,True
B010,ORG009,Stockholm Karolinska BioLab Kappa,SE,Stockholm,Dfb,4800.0,4200.0,2018,Lab,180,Copilot,True,120.0,950.0,S,30.0,False,,,,True,4.8,140.0,False,False,True,gshp,True,True,0.18,0.14,0.22,0.95,0.28,0.7,MEDIUM,2018.0,False,A,2022,REG_SE,True
