scenario_id,building_id,building_name,country,battery_tech,battery_type,eu_compliant,battery_capacity_kwh,battery_power_kw,pv_capacity_kwp,battery_cost_eur,total_capex_eur,battery_lifespan_years,strategy,strategy_label,is_active_strategy,is_simulated,annual_savings_eur,annual_co2_avoided_kg,payback_years,npv_10yr_eur,irr_percent,avg_round_trip_efficiency_pct,avg_battery_health_pct,total_cycles_to_date,comparison_score
B001_PEA_200kWh,B001,Berliner Bürogebäude Alpha,DE,CATL_LFP_200,LFP,True,200.0,100.0,120.0,27600,29808.0,12,peak_shaving,Peak-Shaving,False,False,14921.35,16677.86,2.0,108022.49,53.75,94.47,98.89,732.2,100.0
B001_TOU_200kWh,B001,Berliner Bürogebäude Alpha,DE,CATL_LFP_200,LFP,True,200.0,100.0,120.0,27600,29808.0,12,tou,Time-of-Use (ToU),False,False,3341.54,5445.46,8.92,3688.16,7.16,94.49,99.64,236.2,79.1
B001_SEL_200kWh,B001,Berliner Bürogebäude Alpha,DE,CATL_LFP_200,LFP,True,200.0,100.0,120.0,27600,29808.0,12,self_consumption,Self-Consumption,True,False,598.92,801.13,25.0,-21022.92,-10.16,94.5,99.94,33.1,11.6
B003_PEA_800kWh,B003,Hamburg Logistics Hub Gamma,DE,FLUENCE_LFP_800,LFP,True,800.0,400.0,500.0,104000,112320.0,12,peak_shaving,Peak-Shaving,True,False,66039.11,75648.22,1.7,495463.39,63.03,94.97,98.95,821.5,100.0
B003_TOU_800kWh,B003,Hamburg Logistics Hub Gamma,DE,FLUENCE_LFP_800,LFP,True,800.0,400.0,500.0,104000,112320.0,12,tou,Time-of-Use (ToU),False,False,12633.44,21810.57,8.89,14276.95,7.22,94.99,99.7,235.5,88.2
B003_SEL_800kWh,B003,Hamburg Logistics Hub Gamma,DE,FLUENCE_LFP_800,LFP,True,800.0,400.0,500.0,104000,112320.0,12,self_consumption,Self-Consumption,False,False,0.0,0.0,25.0,-99550.6,0.0,95.0,100.0,0.1,10.0
B004_TOU_200kWh,B004,Wien Grand Hotel Delta,AT,CATL_LFP_200,LFP,True,200.0,100.0,80.0,27600,29808.0,12,tou,Time-of-Use (ToU),False,True,2713.16,2998.36,10.99,-1973.58,3.8,94.49,99.64,234.1,70.0
B004_SEL_200kWh,B004,Wien Grand Hotel Delta,AT,CATL_LFP_200,LFP,True,200.0,100.0,80.0,27600,29808.0,12,self_consumption,Self-Consumption,False,True,0.0,0.0,25.0,-26419.2,0.0,94.5,100.0,0.1,10.0
B005_TOU_400kWh,B005,Frankfurt Klinikum Epsilon,DE,SAMSUNG_NMC_400,NMC,False,400.0,180.0,200.0,50000,54000.0,8,tou,Time-of-Use (ToU),False,False,6131.74,10655.34,8.81,7386.24,7.39,90.48,99.32,229.8,63.4
B005_BAC_400kWh,B005,Frankfurt Klinikum Epsilon,DE,SAMSUNG_NMC_400,NMC,False,400.0,180.0,200.0,50000,54000.0,8,backup,Backup + Opportunistic,True,False,3037.33,5292.88,17.78,-20494.44,-2.38,90.49,99.66,114.6,0.0
B005_SEL_400kWh,B005,Frankfurt Klinikum Epsilon,DE,SAMSUNG_NMC_400,NMC,False,400.0,180.0,200.0,50000,54000.0,8,self_consumption,Self-Consumption,False,False,0.0,0.0,25.0,-47860.87,0.0,90.5,100.0,0.1,0.0
B006_TOU_150kWh,B006,Amsterdam Universiteit Zeta,NL,SUNGROW_LFP_150,LFP,True,150.0,75.0,150.0,19800,21384.0,12,tou,Time-of-Use (ToU),False,True,2037.54,2830.99,10.5,-594.64,4.5,93.49,99.67,197.8,70.7
B006_SEL_150kWh,B006,Amsterdam Universiteit Zeta,NL,SUNGROW_LFP_150,LFP,True,150.0,75.0,150.0,19800,21384.0,12,self_consumption,Self-Consumption,False,True,41.87,44.83,25.0,-18575.68,-14.95,93.5,99.99,3.1,10.1
